order_id,code,description,line,stt_noline
1,1.0,ASSETS:,,
2,1.01,LIQUID FUNDS,,1
3,1.01.1.1.1,Cash in Vault,1060,
4,1.01.1.1.2,Cash in ATM Vault,1449,
5,1.01.2,Due from Central Bank,1640,
6,1.01.3,Items in course of collect.,1800,
7,1.01.4,Due from Com. Banks,,2
8,1.01.4.1,Domestic Currency,,3
9,1.01.4.1.2,Call Deposits,,4
10,1.01.4.1.2.21,LocalBankBRIDili,1932,
11,1.01.4.1.2.22,LocalBanks:BNU,1930,
12,1.01.4.1.2.23,LocalBanks:BRI,1940,
13,1.01.4.1.2.21,LocalBanks:Mandiri,1950,
14,1.01.4.1.2.3,OverseasUSDBRI,1960,
15,1.01.4.1.2.4,OverseasUSDBCA,1970,
16,1.01.4.1.2.5,OverseasUSDBNINY,1975,
17,1.01.4.1.2.7,OverseasUSDTurki,1977,
18,1.01.4.1.2.8,OverseasBRINewYork,1978,
19,1.01.4.1.2.9,OverseasUSDUK,1979,
20,1.01.4.1.2,OTHERS,,5
21,1.01.4.1.3.20,LocalBanks:MANDIRI,2005,
22,1.01.4.1.3.21,LocalBanks:BNU,2010,
23,1.01.4.1.3.22,LocalBanks:BRIDILI,2015,
24,1.01.4.1.3.24,BNITimeDepNewYork,2020,
25,1.01.4.1.3.21,BRITimeDepNewYork,2021,
26,1.01.4.1.3.25,TDAktifTurkey,2022,
27,1.01.4.1.3.23,TimeDepositBOCSingapore,2025,
28,1.01.4.1.2.3,Overseas,6830,
29,1.01.4.3,Foreign Currency,,6
30,1.01.4.2.2,OverseasIDRBRI,2080,
31,1.01.4.2.3,OtherOverseasBanks(TD),2090,
32,1.01.4.2.3,TimeDepositBRIJakarta,2095,
33,1.01.4.2.4,OverseasIDRBCA,2110,
34,1.01.4.2.5,OverseasAUDBCA,2113,
35,1.01.4.2.6,BCPPortugal,2115,
36,1.01.4.2.7,BOCSingapore,2116,
37,1.01.4.2.8,SGDBOCSingapore,2117,
