order_id,code,description,line,stt_noline
1,2.0,LIABILITIES:,,
2,2.04,DEPOSITS,,1
3,2.04.1.1,Demand Deposit,,2
4,2.4.1.1.1,Financial Institutions,5150,
5,2.4.1.1.2,Government,4310,
6,2.4.1.1.3,Business Enterprises,4320,
7,2.4.1.1.4,Others,4340,
8,2.4.1.2,Time Deposits,,3
9,2.04.1.2.2,Government,4390,
10,2.04.1.2,Business Enterprises,4400,
11,2.4.1.2.4,Others,4410,
12,2.04.1.3,Other (Passbook Saving),,4
13,2.04.1.1,Financial Institutions,5060,
14,2.04.1.2,Government,5070,
15,2.04.1.3,Business Enterprises,5080,
16,2.04.1.4,Others,,
17,2.04.1.4.1,Passbook Saving,4450,
18,2.04.1.4.2,Pledge Saving,4460,
19,2.04.1.4.5,Saving Enderly,4470,
20,2.04.1.4.6,Bolsa da Mae,4475,
21,2.04.1.4.7,Deposito Asuwain,4480,
22,2.04.1.4.6,Deposito Hau Nia Futuru,4490,
23,2.04.1.4.,Deposito Poupansa Emigrante,4500,
24,2.04.1.4.8,Depozitu Matenek,4505,
25,2.04.1.4.9,Depozitu Pensionista,4506,
26,2.04.1.4.0,BDM Jerasaun Foun,4510,
27,2.04.1.5.0,Depozitu Fiar,4520,
28,2.06,Other Sundry Current Liabilit.,,5
29,2.06.6,Item In Suspens,53200,
30,2.06.2,ReserveFor Bonus & Atribu BOD,5346,
31,2.06.3,Salary Payable,5347,
32,2.06.4,Loan Suspense Migration,5090,
33,2.06.5,Lease Liability IFRS,5349,
34,2.06.3.1,Income Tax,5180,
35,,Income Tax (5182),5182,
36,2.06.3.2,Other Taxes,5190,
37,2.06.4.2,Collected Tax,5230,
38,2.06.5,Interest Accrued,,6
39,2.06.5.1.1,Domestic Currency,5280,
40,2.06.5.2,Others Interest Accrued,5300,
41,2.06.8,RESTRICTED DEPOSIT,,7
42,2.06.8.1,Resident,5370,
43,2.06.8.2,Non Resident L/C,5140,
44,2.06.9,Unearned Interest,,8
45,2.06.9.2.4,Loan Fee Recheduling in Advance,5490,
46,2.06.9.5,Loan Collec. Fee in Advance,,9
47,2.06.9.5.1,Loan Fee In Adv Micro Fin Group,5495,
48,2.06.9.5.3,Loan Fee In Adv Market Vendor,5130,
49,2.06.9.5.4,Loan Fee In Adv Seasonal Crop,5500,
50,2.06.9.5.5,Loan Fee In Adv Business Loan,5505,
51,2.06.9.5.6,Loan Fee In Adv Payroll Loan,5510,
52,2.06.9.5.7,Loan Fee In Adv Empl.and Staff Loan,5515,
53,2.06.9.5.8,Loan Fee In Adv Internal Staff Loan,5517,
54,2.06.9.5.9,Loan Fee In Adv Project Loan,5520,
55,,Loan Fee In Advance Morten,5522,
56,2.06.9.6.0,Loan fee In Adv Investment Loan,5525,
57,2.06.9.6.1,Loan Fee in Adv Asuwa'in Loan,5535,
58,2.06.9.6.2,Loan Fee in Adv Bukae Loan,5540,
59,2.06.9.6.3,Loan Fee in Adv Pension Loan,5545,
60,2.06.9.6.4,Loan Fee in Adv Commercial Transport Lo,5530,
61,2.06.9.6.5,Loan Fee in Adv LO Multiuzu,5546,
62,2.06.9.6.6,Fee in Adv LO Asuwain Loan,5547,
63,2.06.9.6.9,Loan Fee in Adv LO FIAR,5550,
64,2.06.9.7.1,Loan Fee in Adv Agricultor LO,5532,
65,2.06.9.6.7,Loan Fee in Adv LO Bukae,5548,
66,2.06.9.6.8,Loan Fee in Adv LO Pension,5549,
67,,Loan Fee RBL Origination,5551,
68,2.08,Other Liabilit/Due To Branch,,10
69,2-08-1-1,Inter Branch Transac (Net),5830,
70,2-08-1,Others/Overages,6670,
71,2-08-2,Overages ATM,6675,
72,3.0,CAPITAL ACCOUNTS:,,11
73,3.01,Provisioning,6720,
74,3.02,Capital Paid-Up & Assigned,6800,
75,3-04-3-2,Capital Reserve/Reserve Legais,6990,
76,3.06,Profits / Losses,,12
77,3.06.1,Previeous Financial Year,7020,
78,3.06.2,Current Financial Year,7030,
79,,Total Liabilities & Capital,,13
80,,Total Liability in CRF,7240,
81,,Total Capital in CRF,7045,
82,,Diference Assent and Liability,,
83,9999,Sistem Internal Error Account,9999,
