order_id,code,description,line,stt_noline
1,4.0,INCOME:,,
2,4.01,INTEREST INCOME,,1
3,4.01.1,Interest on Due from Banks,1020,
4,4.01.2,Interest on Overnight Placement,1030,
5,4.01.3,Interest On Securities,1040,
6,4.01.4,Interest & Fees on Loans,,2
7,4.01.4.1,Interest Income on Loans,,3
8,4.01.4.1.3.10,Market Vendor Daily Loans,1080,
9,4.01.4.1.3.20,Seasonal Crop Loans,1090,
10,4.01.4.1.3.30,Other Business Loan,1100,
11,4.01.4.1.4.10,Microfinance Group Loans,1110,
12,4.01.4.1.4.20,Payroll Loans,1120,
13,4.01.4.1.4.30,Employee and Staff Loans,1130,
14,4.01.4.1.4.35,Internal Staff Loans,1132,
15,4.01.4.1.4.40,Asuwa'in Loan,1135,
16,4.01.4.1.4.70,Bukae Loan,1137,
17,4.01.4.1.4.80,Pension Loan,1138,
18,4.01.4.1.4.50,Project Loan,1140,
19,4.01.4.1.4.60,Investment Loan,1150,
20,4.01.4.1.4.85,Transport Loan,1160,
21,4.01.4.1.4.86,Payroll Loan LO,1170,
22,4.01.4.1.4.87,Asu'wain Loan LO,1180,
23,4.01.4.1.4.88,Bukae Loan LO,1190,
24,4.01.4.1.4.89,Pension Loan LO,1200,
25,4.01.4.1.4.90,FIAR Loan,1205,
26,4.01.4.1.5.10,Agricultor Loan,1207,
27,,RBL Loan Origination,1208,
28,4.01.4.3,Loan Fee Income,,4
29,4.01.4.3.1,Loan Fee Income Microfin Group,1250,
30,4.01.4.3.3,Loan Fee Income Market Vendor,1260,
31,4.01.4.3.4,Loan Fee Income Seasonal Crop Loan,1270,
32,4.01.4.3.5,Loan Fee Income Business Loan,1280,
33,4.01.4.3.6,Loan Fee Income Payroll,1290,
34,4.01.4.3.7,Loan Fee Income Employee and Staff Loans,1300,
35,4.01.4.3.8,Loan Fee Income Internal Staff Loans,1302,
36,4.01.4.3.9,Loan Fee Income Asuwa'in,1305,
37,4.01.4.3.10,Loan Fee Income Bukae Loan,1307,
38,4.01.4.3.11,Loan Fee Income Pension Loan,1308,
39,4.01.4.4-0,Loan Fee Income Project Loan,1310,
40,1312,Loan Fee Inc Morten Loan,1312,
41,4-01-4-4-1,Loan Fee Income Investment Loans,1320,
42,4-01-4-4-2,Loan Fee Income Transport Loans,1330,
43,4-01-4-4-3,Loan Fee Income Payroll Loans LO,1340,
44,4-01-4-4-4,Loan Fee Income Asuwain Loans LO,1350,
45,4-01-4-4-5,Loan Fee Income Bukae Loans LO,1360,
46,4-01-4-4-6,Loan Fee Income FIAR,1372,
47,4-01-4-4-7,Loan Fee Income Agricultor,1374,
48,4.01-5,Loan Fee Inc Pension L.O,1370,
49,,Loan Fee Income RBL,1375,
50,4.02,NON INTEREST INCOME,,5
51,4.02.0,ATM Fee,1442,
52,4.02.1,Foreign Transfer Fees,14455,
53,4.02.2,Money Gram Fees,1446,
54,4.02.4,Foreign Exchange Gains,1470,
55,4.02.5,Commission Income & Transaction Fees,1700,
56,4.02.6,Other Non Interest Income,1705,
57,4.02.3,Collection Loan Write Off,1706,
58,4.02.7,Fee From Government,1715,
59,4.02.8,Fee From Bank Guarante SI Fee,1740,
60,4.02.9,Initial Fee Urgent Fee OTS Fee,1748,
61,4.03,EXTRAORDINARY INCOME,,6
62,4.03.1,Gains with disposal Of Fixed Asset,1780,
63,4.3.2,Adjustment for Prior Periods,1770,
64,4.03.3.3,Miscellaneous Income / Loss,1800,
65,,Total OPERATING INCOME,,7
66,,Total Income in CRF,1815,
67,4.02.1,Foreign Transfer Fees (supplemental),1410,
68,5.0,EXPENSE:,,
69,5.01,INTEREST EXPENSE,,8
70,5.01.2,Interest by Individual Deposits,,9
71,5.01.2.1,Saving Deposits,18700,
72,5.01.2.2,Time Deposits,1880,
73,5.01.2.2,Demand Deposits,1890,
74,5.01.3,Interest on Legal Entities Deposits,,10
75,5.01.3.1,Saving Deposits,1920,
76,5.01.3.2,Time Deposits,1930,
77,5.01.5,INT. EXP. ON OTHER BORROWINGS,1980,
78,5.02,NON INTEREST EXPENSE,,11
79,5.02.3,Foreign Exchanges Losses,2030,
80,5.02.4,Commission Expense & Transaction Fees,2050,
