account_code,account_name,parent_group,is_summary
1060,CashinVault,LIQUID_FUNDS,false
1449,CashinATMVault,LIQUID_FUNDS,false
1640,DuefromCentralBank,LIQUID_FUNDS,false
1800,Itemsincourseofcollect.,LIQUID_FUNDS,false
1932,LocalBankBRIDili,CALL_DEPOSITS,false
1930,LocalBanks:BNU_Call,CALL_DEPOSITS,false
1940,LocalBanks:BRI_Call,CALL_DEPOSITS,false
1950,LocalBanks:Mandiri_Call,CALL_DEPOSITS,false
1960,OverseasUSDBRI,CALL_DEPOSITS,false
1970,OverseasUSDBCA,CALL_DEPOSITS,false
1975,OverseasUSDBNINY,CALL_DEPOSITS,false
1977,OverseasUSDTurki,CALL_DEPOSITS,false
1978,OverseasBRINewYork,CALL_DEPOSITS,false
1979,OverseasUSDUK,CALL_DEPOSITS,false
2005,LocalBanks:MANDIRI_Other,OTHERS_DOMESTIC,false
2010,LocalBanks:BNU_Other,OTHERS_DOMESTIC,false
2015,LocalBanks:BRIDILI_Other,OTHERS_DOMESTIC,false
2020,BNITimeDepNewYork,OTHERS_DOMESTIC,false
2021,BRITimeDepNewYork,OTHERS_DOMESTIC,false
2022,TDAktifTurkey,OTHERS_DOMESTIC,false
2025,TimeDepositBOCSingapore,OTHERS_DOMESTIC,false
2080,OverseasIDRBRI,FOREIGN_CURRENCY,false
2090,OtherOverseasBanks(TD),FOREIGN_CURRENCY,false
2095,TimeDepositBRIJakarta,FOREIGN_CURRENCY,false
2110,OverseasIDRBCA,FOREIGN_CURRENCY,false
2113,OverseasAUDBCA,FOREIGN_CURRENCY,false
2115,BCPPortugal,FOREIGN_CURRENCY,false
2116,BOCSingapore,FOREIGN_CURRENCY,false
2117,SGDBOCSingapore,FOREIGN_CURRENCY,false
2118,OverseasEuroTurky,FOREIGN_CURRENCY,false
2119,OverseasPoudsTurky,FOREIGN_CURRENCY,false
2120,OverseasIDRBNIJakarta,FOREIGN_CURRENCY,false
2121,OverseasGBPUK,FOREIGN_CURRENCY,false
2122,OverseasEUROUK,FOREIGN_CURRENCY,false
7000,Securities,INVESTMENT,false
2710,MarketVendorDailyL.,CURRENT_LOAN,false
2720,SeasonalCropLoans,CURRENT_LOAN,false
2730,OtherBusineesLoans,CURRENT_LOAN,false
2740,ProjectLoan,CURRENT_LOAN,false
2750,InvestmentLoans,CURRENT_LOAN,false
2760,TransportLoan,CURRENT_LOAN,false
2762,AgricultorLoan,CURRENT_LOAN,false
2820,MicrofinanceGroupL.,CURRENT_LOAN,false
2830,PayrollLoans_Part1,CURRENT_LOAN,false
2850,PayrollLoans_Part2,CURRENT_LOAN,false
2840,LoanstoEmpl.&Staf,CURRENT_LOAN,false
2842,InternalStaffLoan,CURRENT_LOAN,false
2845,AsuwainLoan_Part1,CURRENT_LOAN,false
2855,AsuwainLoan_Part2,CURRENT_LOAN,false
2847,BukaeLoan_Part1,CURRENT_LOAN,false
2860,BukaeLoan_Part2,CURRENT_LOAN,false
2848,PensionLoan_Part1,CURRENT_LOAN,false
2865,PensionLoan_Part2,CURRENT_LOAN,false
2866,FIARLoan,CURRENT_LOAN,false
2867,RBLLoanOrigination,CURRENT_LOAN,false
3050,PastDueMark.Vend.D.L.,PAST_DUE,false
3060,PastDueSeas.C.Loans,PAST_DUE,false
3070,PastDueOtherBusi.L.,PAST_DUE,false
3080,PastDueProjectLoans,PAST_DUE,false
3090,PastDueInvestmentLoan,PAST_DUE,false
3092,PastDueTransportLoan,PAST_DUE,false
3094,PastDueAgricultureLO,PAST_DUE,false
3120,PastDueMicrof.G.L.,PAST_DUE,false
3130,PastDuePayrollLoans_Part1,PAST_DUE,false
3147,PastDuePayrollLoans_Part2,PAST_DUE,false
3140,PastDueL.toE.&Staf,PAST_DUE,false
