account_code,account_name,parent_group,is_summary
18700,SavingDepositsIndividual,INTEREST_INDIVIDUAL,false
1880,TimeDepositsIndividual,INTEREST_INDIVIDUAL,false
1890,DemandDeposits,INTEREST_INDIVIDUAL,false
1920,SavingDepositsLegalEntities,INTEREST_LEGAL,false
1930,TimeDepositsLegalEntities,INTEREST_LEGAL,false
1980,InterestExpOtherBorrowings,INTEREST_EXPENSE,false
2030,ForeignExchangesLosses,NON_INTEREST_EXPENSE,false
2050,CommissionExpenseTransactionFees,NON_INTEREST_EXPENSE,false
20400,OtherNonInterestExpense,NON_INTEREST_EXPENSE,false
2095,RemunerationsOfBoardOfDirector,SALARIES_BENEFITS,false
2097,DirectorsFeesAndHonoraria,SALARIES_BENEFITS,false
2100,SalariesAndWages,SALARIES_BENEFITS,false
2110,FringeBenefitsEmployee,SALARIES_BENEFITS,false
2115,ContributionToRetirement,SALARIES_BENEFITS,false
2120,AnnualLeave,SALARIES_BENEFITS,false
2125,PaymentForOvertime,SALARIES_BENEFITS,false
2190,InformationTechAutomationExpense,ADMIN_EXPENSE,false
2200,CommunicationExpense,ADMIN_EXPENSE,false
2210,PowerLightWater,ADMIN_EXPENSE,false
2220,FuelAndLubricants,ADMIN_EXPENSE,false
2230,TravelingExpenses,ADMIN_EXPENSE,false
2240,StationeryAndOfficeSupplies,ADMIN_EXPENSE,false
2250,RepresentationAndEntertainment,ADMIN_EXPENSE,false
2260,RepairsAndMaintenance,ADMIN_EXPENSE,false
2280,AdvertisingAndPublicRelation,OPERATING_EXPENSE,false
2310,AuditLegalProfessionalFees,OPERATING_EXPENSE,false
2340,CarRents,RENTS,false
2350,RentsPaid,RENTS,false
2380,Insurance,PREMISES_FIXED_ASSETS,false
2390,BuildingMaintenance,PREMISES_FIXED_ASSETS,false
2420,DeprMachinery,DEPRECIATION_AMORTIZATION,false
2430,DeprFurnitureFixtureEquipment,DEPRECIATION_AMORTIZATION,false
2440,DeprVehicles,DEPRECIATION_AMORTIZATION,false
2450,DeprNonPhysicalAssets,DEPRECIATION_AMORTIZATION,false
2460,AmortLeasholdRightImprovement,DEPRECIATION_AMORTIZATION,false
2465,AmortBuilding,DEPRECIATION_AMORTIZATION,false
2520,ProvisionForLoansLosses,PROVISION,false
2540,SecurityJanitorialMessengerial,OTHER_OPERATING,false
2550,FreightAndHandlingExpenses,OTHER_OPERATING,false
2560,TaxesAndLicenses,OTHER_OPERATING,false
2570,BadDebtsWrittenOff,OTHER_OPERATING,false
2580,HealthExpenses,OTHER_OPERATING,false
2582,MiscellaneousExpensesTransport,OTHER_OPERATING,false
2590,MiscellaneousExpensesStaffUniform,OTHER_OPERATING,false
2605,MiscellaneousExpensesAssets,OTHER_OPERATING,false
2685,MiscellaneousExpLoanExt,OTHER_OPERATING,false
2682,PublicServicePaymentDistribCos,OTHER_OPERATING,false
2680,MiscellaneousExpensesOthers,OTHER_OPERATING,false
2710,LossesDisposalFixedAssets,EXTRAORDINARY_EXPENSE,false
2720,AdjustmentPriorPeriods,EXTRAORDINARY_EXPENSE,false
2730,OtherExtraordinaryExpenses,EXTRAORDINARY_EXPENSE,false
2770,ProvisionForIncomeTax,INCOME_TAX,false
